nodenumber,    x-coordinate,    y-coordinate,    z-coordinate
       377,-1.465433743E-02,-1.415766892E-03,-2.060486469E-03
       378, 5.765433982E-02,-1.415741863E-03,-2.060503699E-03
       379,-1.600000076E-02,-1.417611726E-03,-2.059217542E-03
       380, 5.900000036E-02,-1.417611726E-03,-2.059217542E-03
       381, 3.297933936E-02, 1.421867753E-03,-2.056281082E-03
       382, 1.002020575E-02, 1.422226545E-03,-2.056032885E-03
       383, 1.132413372E-02,-1.424293616E-03,-2.054601675E-03
       384, 3.167585656E-02,-1.424243092E-03,-2.054636599E-03
       385, 2.772143483E-02,-5.595659604E-04,-2.053066157E-03
       386, 4.914719239E-02,-1.429954544E-03,-2.050665673E-03
       387,-1.002148911E-02, 1.435295213E-03,-2.046931302E-03
       388, 5.301805586E-02, 1.435237122E-03,-2.046972048E-03
       389, 1.479887310E-02, 9.532828699E-04,-2.042731969E-03
       390, 3.146396019E-03, 1.443323214E-03,-2.041278640E-03
       391, 4.716203362E-02,-1.445591100E-03,-2.039673040E-03
       392, 4.169128835E-02, 1.445923233E-03,-2.039437648E-03
       393, 5.629563332E-02,-1.446241862E-03,-2.039211802E-03
       394,-1.329559088E-02,-1.446769340E-03,-2.038837411E-03
       395, 1.531745214E-02,-5.042608827E-04,-2.035956597E-03
       396,-1.464595739E-02, 1.455471269E-03,-2.032634569E-03
       397, 5.764596537E-02, 1.455477788E-03,-2.032629913E-03
       398, 2.780264057E-02, 7.158530643E-04,-2.028586343E-03
       399, 1.533435937E-02, 5.203915061E-04,-2.026680391E-03
       400, 1.133091561E-02, 1.463918481E-03,-2.026559319E-03
       401, 3.166905791E-02, 1.463886350E-03,-2.026582602E-03
       402, 2.735860087E-02, 7.334515976E-05,-2.023921814E-03
       403,-1.600000076E-02, 1.470731804E-03,-2.021620283E-03
       404, 5.900000036E-02, 1.470731921E-03,-2.021620050E-03
       405, 5.497791618E-02,-1.471621916E-03,-2.020972315E-03
       406,-1.197711378E-02,-1.471888274E-03,-2.020778367E-03
       407, 3.980121389E-02, 1.502572326E-03,-1.998068066E-03
       408, 1.566217095E-02,-5.849980056E-08,-1.995458500E-03
       409, 3.945195582E-03,-1.510913833E-03,-1.991767902E-03
       410, 4.627696052E-02, 1.535177696E-03,-1.973126782E-03
       411,-2.869059797E-03,-1.535946154E-03,-1.972528640E-03
       412, 4.507418349E-02,-1.536518568E-03,-1.972082769E-03
       413, 5.436574668E-02, 1.538001816E-03,-1.970926300E-03
       414,-1.136878319E-02, 1.539992751E-03,-1.969370991E-03
       415, 1.937580295E-03,-1.542504178E-03,-1.967404503E-03
       416,-1.983296679E-04,-1.555992756E-03,-1.956754131E-03
       417,-4.271707032E-03,-1.563209691E-03,-1.950993435E-03
